City,Library,Address,Zip,Phone
Abilene,Abilene Public Library,209 Nw 4th,67410,(785) 263-3082
Agra,Agra-F Lee Doctor Library,222 Main,67621,(785) 638-2471
Agra,"F. Lee Doctor Public Library, Agra",330 Main,,(913) 638-2444
Allen,Lyon County Library Dist. 1,421 Main,66833,(620) 528-3451
Alma,Alma Branch Library,115 West 3rd,,(785) 765-3647
Almena,Almena City Library,415 Main,67622,(785) 669-2336
Alta Vista,Alta Vista Mini Branch,310 Center,,(785) 499-5542
Altamont,Altamont Public Library,407 Huston Ave,67330,(620) 784-5530
Altoona,Altoona Public Library,714 Main,66710,(620) 568-6645
Altoona,Altoona Public Library,713 Main St.,,(620) 568-5415
Americus,Americus Township Library,710 Main,66835,(620) 443-5503
Andale,Andale District Library,328 Main St,67001,(316) 444-2363
Andover,Andover Public Library,1511 E. Central,67002,(316) 558-3500
Anthony,Anthony Public Library,624 E. Main St.,67003,(620) 842-5344
Argonia,Dixon Township Library,120 W Walnut,67004,(620) 435-6979
Arkansas City,Arkansas City Public Library,120 E. 5th Avenue,67005,(620) 442-1280
Arlington,Arlington City Library,111 E. Main,67514,(620) 538-2471
Arma,Arma City Library,508 E. Washington Street,66712,(620) 347-4811
Ashland,Ashland Library,604 Main,67831,(620) 635-2589
Atchison,Atchison Library,401 Kansas Avenue,66002,(913) 367-1902
Attica,Attica City Library,125 North Main,67009,(620) 254-7767
Atwood,Atwood Public Library,102 S. 6th St.,67730,(785) 626-3805
Augusta,Augusta Public Library,1609 State St.,67010,(316) 775-2681
Axtell,Axtell Public Library,401 Maple,66403,(785) 736-2858
Baldwin City,Baldwin City Library,800 7th St.,66006,(785) 594-3411
Basehor,"Basehor Community Library, Dist 2, Lv. Co.",1400 158th Street,66007,(913) 724-2828
Baxter Springs,Johnston Public Library,210 W. 10th St.,66713,(620) 856-5591
Belle Plaine,Belle Plaine Public Library,222 W. 5th,67013,(620) 488-3431
Belleville,Belleville Public Library,1327 19th Street,66935,(785) 527-5305
Beloit,Port Library,311 W. Main,67420,(785) 738-3936
Bird City,Bird City Public Library,110 East 4th,67731,(785) 734-2203
Bison,Bison Community Library,202 Main,67520,(785) 356-4803
Blue Mound,"Library District 3 Of Linn County, Blue Moun",po box 13,,(913) 756-2614
Blue Mound,Linn County Library Dist 3,316 E. Main St,66010,(913) 756-2628
Blue Rapids,Blue Rapids Public Library,14 Public Square,66411,(785) 363-7709
Bonner Springs,Bonner Springs City Library,200 E. Third Street,66012,(913) 441-2665
Bronson,Bronson Public Library,509 Clay,66716,(620) 939-4910
Brownell,Brownell Public Library,201 S. Sixth Street,67521,
Bucklin,Bucklin Public Library,201 N. Main,67834,(620) 826-3223
Buhler,Buhler Public Library,121 N. Main St.,67522,(620) 543-2241
Burdett,Burdett Community Library,207 Elm Street,,(316) 525-6588
Burlingame,Burlingame Community Library,122 W. Santa Fe Ave,66413,(785) 654-3400
Burlington,Coffey County Library,410 Juniatta Street,66839,(620) 364-2010
